Date,Invoice ID,Product Line,Item_Type,BASEUNIT,Quantity,Unit price,Tax 5%,cogs,Total,DIVISION
02/15/2019,SI486-BNY-78/79,MUSURO DAAL NON-POLISHED SMALL 1KG,Hard Drinks,kg,6,15.26,4.578,91.56,96.138,Koteshwor
03/19/2019,SI486-BNY-78/79,CELLO SUNFLOWER OIL 500ML ,Dairy,PC,9,76.4,34.38,687.6,721.98,Koteshwor
02/13/2019,SI487-BNY-78/79,NMC YOGHURT 500ML,Canned,PC,1,76.82,3.841,76.82,80.661,SanoThimi
03/10/2019,SI488-BNY-78/79,SANCHO FEEL THE RELIEF ,Dairy,PC,3,25.84,3.876,77.52,81.396,SanoThimi
03/22/2019,SI489-BNY-78/79,OLD DURBAR 180ML,Health and Hygiene,PC,8,50.93,20.372,407.44,427.812,SanoThimi
03/03/2019,SI489-BNY-78/79,NESCAFE RED CUP 45GMS ,Snack Foods,PC,1,25,1.25,25,26.25,SanoThimi
01/29/2019,SI489-BNY-78/79,NMC THEKI DAHI 500ML,Breads,PC,1,38.6,1.93,38.6,40.53,SanoThimi
01/08/2019,SI489-BNY-78/79,MUSURO DAAL NON-POLISHED SMALL 500GMS,Soft Drinks,kg,5,37.14,9.285,185.7,194.985,SanoThimi
03/23/2019,SI489-BNY-78/79,PRASANSHA COOKIES BIG BOX ,Health and Hygiene,PKT,4,37.15,7.43,148.6,156.03,SanoThimi
01/28/2019,SI489-BNY-78/79,GANPATI PURE & FRESH SOOJI 400GM,Fruits and Vegetables,PC,8,24.18,9.672,193.44,203.112,SanoThimi
03/01/2019,SI490-BNY-78/79,NMC YOGHURT 500ML,Soft Drinks,PC,2,34.73,3.473,69.46,72.933,SanoThimi
02/12/2019,SI491-BNY-78/79, BMG MIX MASALA POWDER WT 50 GM,Snack Foods,kg,6,25.43,7.629,152.58,160.209,SanoThimi
03/07/2019,SI491-BNY-78/79,RUBBER COTTON,Snack Foods,PC,1,97.94,4.897,97.94,102.837,SanoThimi
01/22/2019,SI491-BNY-78/79,STAYFREE EXL 6'S,Dairy,PC,3,30.68,4.602,92.04,96.642,SanoThimi
01/02/2019,SI492-BNY-78/79,NMC THEKI DAHI 500ML,Meat,PC,6,41.66,12.498,249.96,262.458,Koteshwor
03/20/2019,SI493-BNY-78/79,LIFEBUOY TOTAL ACTIVE SILVER95GM*4PCS,Snack Foods,PC,6,74.51,22.353,447.06,469.413,Koteshwor
03/10/2019,CN5-BNY-78/79,LIFEBUOY TOTAL ACTIVE SILVER95GM*4PCS,Canned,PC,7,10.13,3.5455,70.91,74.4555,Koteshwor
01/23/2019,SI494-BNY-78/79,DABUR RED TOOTHPASTE 80GMS,Canned,PC,1,30.61,1.5305,30.61,32.1405,Koteshwor
02/03/2019,SI494-BNY-78/79,DABUR RED TOOTHPASTE 175GMS,Dairy,PC,10,67.45,33.725,674.5,708.225,Koteshwor
03/09/2019,SI495-BNY-78/79,AZZABKO 21LOVE 100ML,Health and Hygiene,PC,2,60.87,6.087,121.74,127.827,Koteshwor
01/25/2019,SI495-BNY-78/79,TOYS TOP TRUCK ,Canned,PC,3,53.3,7.995,159.9,167.895,Koteshwor
03/05/2019,SI496-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Baking Goods,PC,3,78.31,11.7465,234.93,246.6765,Koteshwor
01/18/2019,SI496-BNY-78/79,MUSURO DAAL NON-POLISHED SMALL 500GMS,Dairy,kg,9,19.36,8.712,174.24,182.952,Koteshwor
01/14/2019,SI496-BNY-78/79,LOCAL MURALI MAKAI 1KG,Health and Hygiene,PC,10,56.04,28.02,560.4,588.42,Koteshwor
01/11/2019,SI497-BNY-78/79,KALPA AATA  2KG,Frozen Foods,PC,6,48.5,14.55,291,305.55,Koteshwor
02/27/2019,SI498-BNY-78/79,AZZABKO CHOCO BAR 60ML,Canned,PC,2,21.48,2.148,42.96,45.108,Koteshwor
01/17/2019,SI499-BNY-78/79,PARTY POPPER BIG,Fruits and Vegetables,PC,3,25.7,3.855,77.1,80.955,Koteshwor
02/28/2019,SI499-BNY-78/79,BIRTHDAY SLASH BODY FITA ,Household,PC,3,56,8.4,168,176.4,Koteshwor
02/08/2019,SI499-BNY-78/79,BALLOON LOCOLOCO,Snack Foods,PC,1,19.7,0.985,19.7,20.685,Koteshwor
02/20/2019,CN6-BNY-78/79,PARTY POPPER BIG,Household,PC,2,37.69,3.769,75.38,79.149,Koteshwor
02/27/2019,SI500-BNY-78/79,TOYS LOVELY BIKE,Hard Drinks,PC,10,18.85,9.425,188.5,197.925,Koteshwor
01/17/2019,SI501-BNY-78/79,PRINGLES SALT & SEAWEED 107GMS,Snack Foods,PC,7,58.91,20.6185,412.37,432.9885,Koteshwor
01/19/2019,SI502-BNY-78/79,AZZABKO VANILLA 100ML,Canned,PC,8,33.88,13.552,271.04,284.592,Koteshwor
02/14/2019,SI502-BNY-78/79,AZZABKO BUTTERSCOTCH 100ML,Fruits and Vegetables,PC,1,91.3,4.565,91.3,95.865,Koteshwor
01/09/2019,SI502-BNY-78/79,AZZABKO STRAWBERRY 100ML,Meat,PC,5,38.54,9.635,192.7,202.335,Koteshwor
01/27/2019,SI502-BNY-78/79,NEW PACK PITAMBARI 200GMS,Fruits and Vegetables,PC,1,73.26,3.663,73.26,76.923,Koteshwor
01/08/2019,SI503-BNY-78/79,BRITANNIA VITA MARIE GOLD 300GM,Frozen Foods,PC,2,12.76,1.276,25.52,26.796,Koteshwor
01/06/2019,SI504-BNY-78/79,SPRITE 500 ML,Snack Foods,PC,4,64.59,12.918,258.36,271.278,Koteshwor
02/05/2019,SI505-BNY-78/79,CURRENT NOODLES HOT N LEMON 100GMS,Snack Foods,PC,1,87.9,4.395,87.9,92.295,Koteshwor
03/17/2019,SI506-BNY-78/79,WHITE PEAS 1KG,Meat,PC,10,76.92,38.46,769.2,807.66,Koteshwor
02/09/2019,SI507-BNY-78/79,CHANA 1KG,Dairy,kg,9,35.04,15.768,315.36,331.128,Koteshwor
01/31/2019,SI508-BNY-78/79,DABUR RED TOOTHPASTE 40GMS,Soft Drinks,PC,8,51.34,20.536,410.72,431.256,Koteshwor
03/02/2019,SI509-BNY-78/79,SIMPLE MIRROR ,Health and Hygiene,PC,4,66.52,13.304,266.08,279.384,Koteshwor
03/10/2019,SI509-BNY-78/79,PADELUX PREMIUM SANITARY PADS REGULAR XL,Snack Foods,PC,2,58.03,5.803,116.06,121.863,Koteshwor
01/05/2019,SI509-BNY-78/79,CELERITY TOP TEC (0.5MM),Baking Goods,PC,7,74.69,26.1415,522.83,548.9715,Koteshwor
02/25/2019,SI510-BNY-78/79,PAICHO TOMATO SAUCE 5KG,Starchy Foods,PC,6,68.84,20.652,413.04,433.692,Koteshwor
02/12/2019,SI511-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Canned,PC,5,46.95,11.7375,234.75,246.4875,Koteshwor
01/15/2019,SI511-BNY-78/79, BMG MIX MASALA POWDER WT 50 GM,Household,kg,9,60.88,27.396,547.92,575.316,Koteshwor
01/10/2019,SI511-BNY-78/79,SUGAR 500GMS ,Frozen Foods,PC,7,21.98,7.693,153.86,161.553,Koteshwor
02/02/2019,SI512-BNY-78/79,AAYO NOON 1KG,Snack Foods,PC,10,10.96,5.48,109.6,115.08,Koteshwor
01/21/2019,SI512-BNY-78/79, BMG MIX MASALA POWDER WT 50 GM,Baking Goods,kg,6,77.95,23.385,467.7,491.085,Koteshwor
02/10/2019,SI512-BNY-78/79,NGPL HERB YUKT DISHWASH BAR 175GMS,Frozen Foods,PC,10,30.14,15.07,301.4,316.47,Koteshwor
03/23/2019,SI512-BNY-78/79,BRITE ORIGINAL DISH WASH PAD,Canned,PC,1,25.29,1.2645,25.29,26.5545,Koteshwor
01/03/2019,SI513-BNY-78/79,UPAKAR GAHAT 1KG,Snack Foods,PC,9,23.03,10.3635,207.27,217.6335,Koteshwor
03/11/2019,SI513-BNY-78/79,NAYAK TEA 200G,Frozen Foods,kg,8,63.42,25.368,507.36,532.728,Koteshwor
01/20/2019,SI513-BNY-78/79,SNOW FUN TOP KULFI ,Snack Foods,PC,2,93.14,9.314,186.28,195.594,Koteshwor
03/19/2019,SI513-BNY-78/79,PAICHO MANGO PICKLE 1KG,Household,PC,9,75.06,33.777,675.54,709.317,Koteshwor
01/04/2019,SI514-BNY-78/79,PLASTIC BALA,Baking Goods,PC,10,35.54,17.77,355.4,373.17,Koteshwor
03/21/2019,SI515-BNY-78/79,PATANJALI DETERGENT POWDER WITH HERBS SUPERIOR QUALITY (500GM),Fruits and Vegetables,PC,3,26.48,3.972,79.44,83.412,Koteshwor
02/27/2019,SI515-BNY-78/79,CHIMTY SMALL,Fruits and Vegetables,PC,9,77.93,35.0685,701.37,736.4385,Koteshwor
01/14/2019,SI515-BNY-78/79,SARA NAIL POLISH 8ML ,Breakfast,PC,5,96.7,24.175,483.5,507.675,Koteshwor
01/06/2019,SI515-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Snack Foods,PC,5,40.94,10.235,204.7,214.935,Koteshwor
03/06/2019,SI515-BNY-78/79,MOTI TOP GOLD,Meat,PC,1,79.74,3.987,79.74,83.727,Koteshwor
01/24/2019,SI515-BNY-78/79,HORLICKS CLASSIC  REGULAR JAR 500GMS ,Fruits and Vegetables,PC,5,77.5,19.375,387.5,406.875,Koteshwor
03/13/2019,SI515-BNY-78/79,SUGAR 500GMS ,Dairy,PC,5,54.27,13.5675,271.35,284.9175,Koteshwor
03/04/2019,SI516-BNY-78/79,HYGEN MANIA ENERGY DRINK 250ML,Soft Drinks,PC,4,56.53,11.306,226.12,237.426,Koteshwor
03/08/2019,SI517-BNY-78/79,SPRITE 2.25L ,Fruits and Vegetables,PC,10,90.65,45.325,906.5,951.825,Koteshwor
01/13/2019,SI517-BNY-78/79,HYGEN MANIA ENERGY DRINK 250ML,Health and Hygiene,PC,6,23.46,7.038,140.76,147.798,Koteshwor
03/16/2019,SI518-BNY-78/79,DABUR RED TOOTHPASTE 80GMS,Frozen Foods,PC,5,63.61,15.9025,318.05,333.9525,Koteshwor
01/05/2019,SI519-BNY-78/79,AZZABKO VANILLA 500ML,Frozen Foods,PC,5,42.91,10.7275,214.55,225.2775,Koteshwor
01/27/2019,SI520-BNY-78/79,KOOL MANGO FRUTI 200ML,Fruits and Vegetables,PC,7,54.28,18.998,379.96,398.958,Koteshwor
02/25/2019,SI521-BNY-78/79,NOBLE ADMIRABLE POWER BULET 125 POWER ,Household,PC,5,91.41,22.8525,457.05,479.9025,Koteshwor
03/11/2019,SI522-BNY-78/79,AXE PULSE BODYSPRAY 150ML,Fruits and Vegetables,PC,5,28.32,7.08,141.6,148.68,Koteshwor
01/12/2019,SI523-BNY-78/79,KAVERI MEHENDI ,Frozen Foods,PC,10,29.42,14.71,294.2,308.91,Koteshwor
03/29/2019,SI523-BNY-78/79,CADBURY SHOTS 9GMS ,Snack Foods,PC,3,72.42,10.863,217.26,228.123,Koteshwor
02/04/2019,SI523-BNY-78/79,S.P. CLIPS PATTA,Snack Foods,PC,5,43.06,10.765,215.3,226.065,Koteshwor
02/05/2019,SI524-BNY-78/79,GANPATI PURE & FRESH SOOJI 400GM,Soft Drinks,PC,3,75.2,11.28,225.6,236.88,Koteshwor
03/24/2019,SI525-BNY-78/79,BALTRA HA CHAPATI TAWA 28CM,Snack Foods,PC,2,70.32,7.032,140.64,147.672,Koteshwor
02/10/2019,SI526-BNY-78/79,NEBICO COCONUT CRUNCHES 75GMS,Canned,PC,7,53.65,18.7775,375.55,394.3275,Koteshwor
03/20/2019,SI526-BNY-78/79,CADBURY SHOTS 9GMS ,Baking Goods,PC,9,38.72,17.424,348.48,365.904,Koteshwor
01/18/2019,SI527-BNY-78/79,PARLE-G 65GMS,Baking Goods,PC,3,88.15,13.2225,264.45,277.6725,Koteshwor
02/04/2019,SI528-BNY-78/79,AZZABKO CHOCOLATE 100ML,Soft Drinks,PC,4,48.63,9.726,194.52,204.246,Koteshwor
01/01/2019,SI529-BNY-78/79,WHITE PEAS 1KG,Soft Drinks,PC,4,27.04,5.408,108.16,113.568,Koteshwor
03/28/2019,SI529-BNY-78/79,CHANA 1KG,Dairy,kg,7,71.46,25.011,500.22,525.231,Koteshwor
02/12/2019,SI530-BNY-78/79,DABUR RED TOOTHPASTE 40GMS,Frozen Foods,PC,2,71.63,7.163,143.26,150.423,Koteshwor
02/22/2019,SI530-BNY-78/79,CELLO SUNFLOWER OIL 500ML ,Meat,PC,10,17.42,8.71,174.2,182.91,Koteshwor
03/25/2019,SI531-BNY-78/79,BRITANNIA TREAT FUNKY CHOCO 50GMS,Snack Foods,PC,4,55.39,11.078,221.56,232.638,Koteshwor
01/20/2019,SI532-BNY-78/79,CADBURY DAIRY MILK CRISPELLO 13GMS,Breads,PC,8,63.88,25.552,511.04,536.592,Koteshwor
03/26/2019,SI532-BNY-78/79,CADBURY DAIRY MILK OREO 60GMS,Frozen Foods,PC,5,10.69,2.6725,53.45,56.1225,Koteshwor
02/11/2019,SI532-BNY-78/79,HYGEN MANIA ENERGY DRINK 250ML,Frozen Foods,PC,4,94.76,18.952,379.04,397.992,Koteshwor
02/19/2019,SI533-BNY-78/79,UPAKAR GAHAT 1KG,Snack Foods,PC,2,98.48,9.848,196.96,206.808,Koteshwor
01/23/2019,SI533-BNY-78/79,NGPL LONG GRAIN BASMATI RICE 5KG,Soft Drinks,PC,5,95.95,23.9875,479.75,503.7375,Suryabinayak
03/30/2019,SI534-BNY-78/79,LALI HOT & SPICY INSTANT NOODLES 75GM,Snack Foods,PC,6,34.42,10.326,206.52,216.846,Suryabinayak
03/23/2019,SI534-BNY-78/79,LALI VEG NOODLES 85GMS,Household,PC,10,73.47,36.735,734.7,771.435,Suryabinayak
03/27/2019,SI534-BNY-78/79,MUSURO DAAL NON-POLISHED SMALL 1KG,Soft Drinks,kg,2,79.54,7.954,159.08,167.034,Suryabinayak
02/27/2019,SI534-BNY-78/79,CURRENT NOODLES HOT N LEMON 100GMS,Canned,PC,10,74.44,37.22,744.4,781.62,Suryabinayak
01/19/2019,SI535-BNY-78/79,PRASANSHA BREAD RUSK ,Canned,PKT,10,45.68,22.84,456.8,479.64,Suryabinayak
03/04/2019,SI536-BNY-78/79,SAMPOORNA MUSTARD OIL 1LTR POUCH,Breads,PC,9,33.3,14.985,299.7,314.685,Suryabinayak
03/14/2019,SI536-BNY-78/79,KELLOGGS CHOCOS VARIETY PALL,Frozen Foods,PC,9,97.48,43.866,877.32,921.186,Suryabinayak
02/06/2019,SI537-BNY-78/79,PRASANSHA BAKERY BISCUITE ,Soft Drinks,PKT,4,14.48,2.896,57.92,60.816,Suryabinayak
03/11/2019,SI537-BNY-78/79,PAYO POTATO CHIPS CREAM AND ONION FLAVOUR 25GM,Dairy,PKT,2,40.3,4.03,80.6,84.63,Suryabinayak
03/05/2019,SI538-BNY-78/79,VICKS VAPORUB 25ML,Hard Drinks,PC,3,87.98,13.197,263.94,277.137,Suryabinayak
01/17/2019,SI539-BNY-78/79,PARLE KRACK JACK 200GMS,Household,PC,1,86.72,4.336,86.72,91.056,Suryabinayak
02/06/2019,SI540-BNY-78/79,KOOL MANGO FRUTI 200ML,Canned,PC,9,20.01,9.0045,180.09,189.0945,Suryabinayak
03/22/2019,SI540-BNY-78/79,RUM PUM CHOW CHOW 75GMS,Household,PC,4,17.87,3.574,71.48,75.054,Suryabinayak
03/07/2019,SI541-BNY-78/79,UPAKAR SUGAR 1KG,Health and Hygiene,PKT,2,16.16,1.616,32.32,33.936,Suryabinayak
02/03/2019,SI541-BNY-78/79,LOCAL MEDIUM MUSURO DAAL 1 KG,Frozen Foods,PKT,9,55.07,24.7815,495.63,520.4115,Suryabinayak
01/07/2019,SI541-BNY-78/79,CHANA 1KG,Canned,kg,6,97.61,29.283,585.66,614.943,Suryabinayak
03/05/2019,SI541-BNY-78/79,KALPA AATA  2KG,Household,PC,3,48.52,7.278,145.56,152.838,Suryabinayak
01/26/2019,SI542-BNY-78/79,NMC THEKI DAHI 500ML,Starchy Foods,PC,3,96.68,14.502,290.04,304.542,Suryabinayak
03/29/2019,SI543-BNY-78/79,KOOL MANGO FRUTI 200ML,Dairy,PC,10,87.87,43.935,878.7,922.635,Suryabinayak
02/05/2019,SI544-BNY-78/79,XIMEILI FOAM BRA,Fruits and Vegetables,PC,2,16.49,1.649,32.98,34.629,Suryabinayak
03/05/2019,SI545-BNY-78/79,PAYO POTATO CHIPS CREAM AND ONION FLAVOUR 55GM,Others,PKT,5,21.94,5.485,109.7,115.185,Suryabinayak
01/16/2019,SI545-BNY-78/79,AZZABKO CHOCOLATE 100ML,Household,PC,1,51.36,2.568,51.36,53.928,Suryabinayak
01/20/2019,SI545-BNY-78/79,MOTI TOP ZIROKONI,Household,PC,2,53.44,5.344,106.88,112.224,Suryabinayak
03/09/2019,SI545-BNY-78/79,OBN NAILPOLISH REMOVER,Others,PC,8,56.47,22.588,451.76,474.348,Suryabinayak
02/08/2019,SI546-BNY-78/79,GOLD PLATED JEWELRY,Household,PC,9,90.28,40.626,812.52,853.146,Suryabinayak
03/07/2019,SI547-BNY-78/79,KAAYA MATCHING PLAZA,Frozen Foods,PC,5,50.28,12.57,251.4,263.97,Suryabinayak
03/30/2019,SI547-BNY-78/79,LIVION SHAKE AND SPRAY SERUM 50ML,Frozen Foods,PC,9,97.22,43.749,874.98,918.729,Suryabinayak
03/27/2019,SI547-BNY-78/79,JAYA SANTOSHI PAPAD 175GMS,Starchy Foods,PC,6,93.39,28.017,560.34,588.357,Suryabinayak
02/25/2019,SI547-BNY-78/79,MUNAYCITO DISH WASH PAD,Health and Hygiene,PC,8,42.57,17.028,340.56,357.588,Suryabinayak
01/18/2019,SI547-BNY-78/79,GREEN POTE ,Snack Foods,PC,8,19.79,7.916,158.32,166.236,Suryabinayak
03/05/2019,SI547-BNY-78/79,KOOL MANGO FRUTI 200ML,Household,PC,3,18.08,2.712,54.24,56.952,Suryabinayak
03/03/2019,SI548-BNY-78/79,VIM BAR 90GMS,Soft Drinks,PC,8,94.49,37.796,755.92,793.716,Suryabinayak
01/15/2019,SI548-BNY-78/79,AAYO ULTRA LAUNDARY  SOAP 180GMS,Frozen Foods,PC,2,73.52,7.352,147.04,154.392,Suryabinayak
01/26/2019,SI548-BNY-78/79,RUM PUM CHOW CHOW 75GMS,Frozen Foods,PC,4,25.55,5.11,102.2,107.31,Suryabinayak
02/06/2019,SI548-BNY-78/79,PAYO POTATO CHIPS CREAM AND ONION FLAVOUR 25GM,Soft Drinks,PKT,10,25.9,12.95,259,271.95,Suryabinayak
03/28/2019,SI549-BNY-78/79,CURRENT NOODLES 2X SPICY 100GMS,Fruits and Vegetables,PC,3,30.37,4.5555,91.11,95.6655,Suryabinayak
03/20/2019,SI549-BNY-78/79,RUM PUM CHOW CHOW 75GMS,Household,PC,5,92.36,23.09,461.8,484.89,Suryabinayak
02/12/2019,SI550-BNY-78/79,LOCAL MURALI MAKAI 1KG,Baking Goods,PC,8,94.87,37.948,758.96,796.908,Suryabinayak
01/31/2019,SI550-BNY-78/79,PITAMBARI SHINING POWDER 200GMS,Breakfast,PC,6,45.35,13.605,272.1,285.705,Suryabinayak
03/06/2019,SI550-BNY-78/79,MUSURO DAAL NON-POLISHED SMALL 500GMS,Soft Drinks,kg,7,62.08,21.728,434.56,456.288,Suryabinayak
01/26/2019,SI551-BNY-78/79,PAYO POTATO CHIPS CREAM AND ONION FLAVOUR 55GM,Frozen Foods,PKT,9,69.37,31.2165,624.33,655.5465,Suryabinayak
02/02/2019,SI551-BNY-78/79,PAYO POTATO CHIPS CREAM AND ONION FLAVOUR 25GM,Snack Foods,PKT,9,46.55,20.9475,418.95,439.8975,Suryabinayak
02/26/2019,SI552-BNY-78/79,KELLOGGS CHOCOS CRUNCHY BITES 26GMS,Fruits and Vegetables,PC,1,54.45,2.7225,54.45,57.1725,Suryabinayak
03/06/2019,SI552-BNY-78/79,BLACK TOP,Canned,PC,5,67.43,16.8575,337.15,354.0075,Suryabinayak
02/26/2019,SI552-BNY-78/79,NGPL HERB YUKT DISHWASH BAR 175GMS,Soft Drinks,PC,6,99.71,29.913,598.26,628.173,Suryabinayak
03/13/2019,SI552-BNY-78/79,FASHION TOP,Meat,PC,10,18.11,9.055,181.1,190.155,Suryabinayak
03/12/2019,SI552-BNY-78/79,BRITANNIA TREAT FUNKY CHOCO 50GMS,Soft Drinks,PC,4,97.74,19.548,390.96,410.508,Suryabinayak
03/05/2019,SI552-BNY-78/79,SONATA GOLDEN NAIL POLISH 6ML,Canned,PC,7,55.97,19.5895,391.79,411.3795,Suryabinayak
03/01/2019,SI552-BNY-78/79,NEBICO THIN ARROWROOT BISCUIT 75GMS,Canned,PC,3,27.5,4.125,82.5,86.625,Suryabinayak
02/22/2019,SI552-BNY-78/79,PARACHUTE RB COCONUT HAIR OIL 50ML,Household,PC,5,39.75,9.9375,198.75,208.6875,Suryabinayak
01/25/2019,SI552-BNY-78/79,TWINKLE LADIES COMB,Breads,PC,2,21.87,2.187,43.74,45.927,Suryabinayak
01/25/2019,SI553-BNY-78/79,DECORATION MAKE UP SET,Others,PKT,1,96.11,4.8055,96.11,100.9155,Suryabinayak
01/12/2019,SI553-BNY-78/79,HAIR BIN BOX PVS-137,Fruits and Vegetables,PC,2,57.22,5.722,114.44,120.162,Suryabinayak
03/16/2019,SI553-BNY-78/79,SIMPLE RABBUR ,Meat,PC,10,34.37,17.185,343.7,360.885,Suryabinayak
03/21/2019,SI553-BNY-78/79,DOMS ERAS NER 2 IN 1,Fruits and Vegetables,PC,4,49.49,9.898,197.96,207.858,Suryabinayak
02/04/2019,SI554-BNY-78/79,CAPTAIN FILTER KINGS CIGARETTES PKT,Fruits and Vegetables,PKT,9,77.68,34.956,699.12,734.076,Suryabinayak
03/13/2019,SI554-BNY-78/79,CELLO SUNFLOWER OIL 500ML ,Breads,PC,2,34.7,3.47,69.4,72.87,Suryabinayak
03/05/2019,SI555-BNY-78/79,NATIONAL CHOPPING BOARD 12×9,Starchy Foods,PC,8,25.32,10.128,202.56,212.688,Suryabinayak
02/26/2019,SI556-BNY-78/79,GREEN POTE ,Health and Hygiene,PC,2,99.89,9.989,199.78,209.769,Suryabinayak
03/29/2019,SI556-BNY-78/79,BALA KAACH 4PC SET 'A',Soft Drinks,PC,5,54.86,13.715,274.3,288.015,Suryabinayak
01/13/2019,SI556-BNY-78/79,DERMI COOL PRICKLY HEAT POWDER MENTHOL REGULAR 150 GMS ,Baking Goods,PC,2,59.86,5.986,119.72,125.706,Suryabinayak
02/06/2019,SI556-BNY-78/79,BRINDABAN BESAN 1KG POUCH,Frozen Foods,kg,10,22.95,11.475,229.5,240.975,Suryabinayak
03/19/2019,SI556-BNY-78/79,CLINIC PLUS UNILEVER 340ML,Meat,PC,4,38.81,7.762,155.24,163.002,Suryabinayak
02/09/2019,SI556-BNY-78/79,KAAYA BINDI BEAUTY,Health and Hygiene,PC,3,57.27,8.5905,171.81,180.4005,Suryabinayak
01/30/2019,SI556-BNY-78/79,KALPA AATA  2KG,Dairy,PC,8,42.42,16.968,339.36,356.328,Suryabinayak
03/01/2019,CN7-BNY-78/79,BALA KAACH 4PC SET 'A',Baking Goods,PC,7,81.31,28.4585,569.17,597.6285,Suryabinayak
03/01/2019,SI557-BNY-78/79,VIM BAR 90GMS,Snack Foods,PC,2,69.51,6.951,139.02,145.971,Suryabinayak
01/19/2019,SI557-BNY-78/79,XIMEILI FOAM BRA,Fruits and Vegetables,PC,3,63.06,9.459,189.18,198.639,Suryabinayak
03/17/2019,SI557-BNY-78/79,MATTE LIPSTICK,Health and Hygiene,PC,6,54.51,16.353,327.06,343.413,Suryabinayak
